id,name,scientific_name
agri.pest_disease_diamond_back_moth_phthorimaea_operculella,Diamond back moth,Phthorimaea operculella
agri.pest_disease_diamond_back_moth_pieris_brassicae,Diamond back moth,Pieris brassicae
agri.pest_disease_diamond_back_moth_scirtothrips_aurantii,Diamond back moth,Scirtothrips aurantii
agri.pest_disease_diamond_back_moth_spodoptera_frugiperda,Diamond back moth,Spodoptera frugiperda
agri.pest_disease_diamond_back_moth_spodoptera_sp,Diamond back moth,Spodoptera sp.
agri.pest_disease_disinsectation,Disinsectation,
agri.pest_disease_dollar_spot,Dollar spot,
agri.pest_disease_dollar_spot_cercospera_zeaemaydis,Dollar spot,Cercospera zeaemaydis
agri.pest_disease_dollar_spot_monilinia,Dollar spot,Monilinia
agri.pest_disease_downy_mildew,Downy mildew,
agri.pest_disease_downy_mildew_alternaria_solani,Downy mildew,Alternaria solani
agri.pest_disease_downy_mildew_botrytis_spp,Downy mildew,Botrytis spp.
agri.pest_disease_downy_mildew_peronospora_destructor,Downy mildew,Peronospora destructor
agri.pest_disease_downy_mildew_phytophthora_infestans,Downy mildew,Phytophthora infestans
agri.pest_disease_downy_mildew_phytophthora_spp,Downy mildew,Phytophthora spp.
agri.pest_disease_downy_mildew_plasmopara_halstedii,Downy mildew,Plasmopara halstedii
agri.pest_disease_downy_mildew_plasmopara_viticola,Downy mildew,Plasmopara viticola
agri.pest_disease_dry_bubble,Dry bubble,
agri.pest_disease_dry_rot,Dry rot,
agri.pest_disease_early_blight,Early blight,
agri.pest_disease_early_blight_albugo_candida,Early blight,Albugo candida
agri.pest_disease_early_blight_alternaria_porri,Early blight,Alternaria porri
agri.pest_disease_early_blight_alternaria_solani,Early blight,Alternaria solani
agri.pest_disease_early_blight_alternaria_spp,Early blight,Alternaria spp.
agri.pest_disease_early_blight_cercospora_spp,Early blight,Cercospora spp.
agri.pest_disease_early_blight_colletotrichum_lindemuthianum,Early blight,Colletotrichum lindemuthianum
agri.pest_disease_early_blight_dothiorella_aromatica,Early blight,Dothiorella aromatica
agri.pest_disease_early_blight_phytophthora_infestans,Early blight,Phytophthora infestans
agri.pest_disease_early_leaf_spot_alternaria_porri,Early leaf spot,Alternaria porri
agri.pest_disease_early_leaf_spot_botrytis_cinerea,Early leaf spot,Botrytis cinerea
agri.pest_disease_early_leaf_spot_cercospora_arachidicola,Early leaf spot,Cercospora arachidicola
agri.pest_disease_earth_flea,Earth flea,
agri.pest_disease_eye_spot_alternaria_solani,Eye spot,Alternaria solani
agri.pest_disease_eye_spot_cercospera_zeaemaydis,Eye spot,Cercospera zeaemaydis
agri.pest_disease_eye_spot_cercospora_arachidicola,Eye spot,Cercospora arachidicola
agri.pest_disease_eye_spot_cercospora_zeae-maydis,Eye spot,Cercospora zeae-maydis
agri.pest_disease_eye_spot_erysiphe_graminis,Eye spot,Erysiphe graminis
agri.pest_disease_fading_out_exserohilum_turcicum,Fading out,Exserohilum turcicum
agri.pest_disease_fading_out_monilinia_spp,Fading out,Monilinia spp.
agri.pest_disease_fairy_ring,Fairy ring,
agri.pest_disease_fairy_ring_pythium_spp,Fairy ring,Pythium spp.
agri.pest_disease_false_chinch_bug_schizaphis_graminum,False chinch bug,Schizaphis graminum
agri.pest_disease_false_codling_moth,False codling moth,
agri.pest_disease_false_codling_moth_imbrasia_cytherea,False codling moth,Imbrasia cytherea
agri.pest_disease_false_codling_moth_liriomyza_spp,False codling moth,Liriomyza spp.
agri.pest_disease_false_codling_moth_plutella_xylostella,False codling moth,Plutella xylostella
agri.pest_disease_false_codling_moth_tetranychus_urticae,False codling moth,Tetranychus urticae
agri.pest_disease_false_wireworm,False wireworm,
agri.pest_disease_false_wireworm_cicadulina_mbila,False wireworm,Cicadulina mbila
agri.pest_disease_false_wireworm_colomerus_vitis,False wireworm,Colomerus vitis
agri.pest_disease_false_wireworm_diuraphis_noxia,False wireworm,Diuraphis noxia
agri.pest_disease_false_wireworm_gonocephalum_spp,False wireworm,Gonocephalum spp.
agri.pest_disease_false_wireworm_heteronychus_arator,False wireworm,Heteronychus arator
agri.pest_disease_false_wireworm_plutella_xylostella,False wireworm,Plutella xylostella
agri.pest_disease_fire_breaks,Fire breaks,
agri.pest_disease_fish_moths,Fish moths,
agri.pest_disease_fleas,Fleas,
agri.pest_disease_flies,Flies,
agri.pest_disease_flies_musca_domestica,Flies,Musca domestica
agri.pest_disease_flower_induction,Flower induction,
agri.pest_disease_flower_inhibition,Flower inhibition,
agri.pest_disease_freckle,Freckle,
agri.pest_disease_fruit_fly,Fruit fly,
agri.pest_disease_fruit_fly_kotochalia_junodi,Fruit fly,Kotochalia junodi
agri.pest_disease_fruit_fly_mediterranean_fruit_fly_linepithema_humile,Fruit fly - Mediterranean fruit fly,Linepithema humile
agri.pest_disease_fruit_fly_mediterranean_fruit_fly_nezara_viridula,Fruit fly - Mediterranean fruit fly,Nezara viridula
agri.pest_disease_fruit_fly_natal_fruit_fly_nezara_viridula,Fruit fly - Natal fruit fly,Nezara viridula
agri.pest_disease_fruit_fly_natal_fruit_fly_pheidole_spp,Fruit fly - Natal fruit fly,Pheidole spp.
agri.pest_disease_fruit_mass_increase,Fruit mass increase,
agri.pest_disease_fruit_nibbler,Fruit nibbler,
agri.pest_disease_fruit_nibbler_phthorimaea_operculella,Fruit nibbler,Phthorimaea operculella
agri.pest_disease_fruit_nibbler_plutella_xylostella,Fruit nibbler,Plutella xylostella
agri.pest_disease_fruit_rot_dothiorella_dominicana,Fruit rot,Dothiorella dominicana
agri.pest_disease_fruit_shape_improvement,Fruit shape improvement,
agri.pest_disease_fruit_size_improvement,Fruit size improvement,
agri.pest_disease_fruit_spot,Fruit spot,
agri.pest_disease_fruit_thinning,Fruit thinning,
agri.pest_disease_fruitset_improvement,Fruitset improvement,
agri.pest_disease_fusarium,Fusarium,
agri.pest_disease_fusarium_corm_rot,Fusarium corm rot,
agri.pest_disease_fusarium_dry_rot,Fusarium dry rot,
agri.pest_disease_gangrene,Gangrene,
agri.pest_disease_gerbils,Gerbils,
agri.pest_disease_glume_blotch_cercosporidium_personatum,Glume blotch,Cercosporidium personatum
agri.pest_disease_glume_blotch_erysiphe_graminis,Glume blotch,Erysiphe graminis
agri.pest_disease_glume_blotch_pseudocercosporella_herpotrichoides,Glume blotch,Pseudocercosporella herpotrichoides
agri.pest_disease_grasshoppers_elegant_grasshopper,Grasshoppers - Elegant grasshopper,
agri.pest_disease_grasshoppers_short-horn_grasshopper,Grasshoppers - Short-horn grasshopper,
agri.pest_disease_greater_cabbage_moth,Greater cabbage moth,
agri.pest_disease_greater_cabbage_moth_helicoverpa_armigera,Greater cabbage moth,Helicoverpa armigera
agri.pest_disease_green_mould,Green mould,
agri.pest_disease_green_mould_monilinia_spp,Green mould,Monilinia spp.
agri.pest_disease_green_mould_penicillium_digitatum,Green mould,Penicillium digitatum
agri.pest_disease_green_mould_penicillium_italicum,Green mould,Penicillium italicum
agri.pest_disease_green_rot,Green rot,
agri.pest_disease_green_rot_stigmina_carpophila,Green rot,Stigmina carpophila
agri.pest_disease_grey_leaf_spot_albugo_candida,Grey leaf spot,Albugo candida
agri.pest_disease_grey_leaf_spot_cercospera_zeaemaydis,Grey leaf spot,Cercospera zeaemaydis
agri.pest_disease_grey_leaf_spot_cercospora_arachidicola,Grey leaf spot,Cercospora arachidicola
agri.pest_disease_grey_leaf_spot_cercospora_spp,Grey leaf spot,Cercospora spp.
agri.pest_disease_grey_leaf_spot_cercospora_zeae-maydis,Grey leaf spot,Cercospora zeae-maydis
agri.pest_disease_grey_leaf_spot_cercospora_zeina,Grey leaf spot,Cercospora zeina
agri.pest_disease_grey_leaf_spot_exserohilum_turcicum,Grey leaf spot,Exserohilum turcicum
agri.pest_disease_grey_leaf_spot_guignardia_citricarpa,Grey leaf spot,Guignardia citricarpa
agri.pest_disease_grey_leaf_spot_helminthosporium_spp,Grey leaf spot,Helminthosporium spp.
agri.pest_disease_grey_leaf_spot_helminthosporium_turcicum,Grey leaf spot,Helminthosporium turcicum
agri.pest_disease_grey_leaf_spot_neovossia_indica,Grey leaf spot,Neovossia indica
agri.pest_disease_grey_leaf_spot_pseudocercosporella_herpotrichoides,Grey leaf spot,Pseudocercosporella herpotrichoides
agri.pest_disease_grey_mould,Grey mould,
agri.pest_disease_grey_mould_cercospora_cichorii,Grey mould,Cercospora cichorii
agri.pest_disease_grey_mould_penicillium_digitatum,Grey mould,Penicillium digitatum
agri.pest_disease_growth_inhibition,Growth inhibition,
agri.pest_disease_growth_stimulation,Growth stimulation,
agri.pest_disease_gum_spot,Gum spot,
agri.pest_disease_gum_spot_taphrina_deformans,Gum spot,Taphrina deformans
agri.pest_disease_halo_spot_cercospora_arachidicola,Halo spot,Cercospora arachidicola
agri.pest_disease_harvest_delay,Harvest delay,
agri.pest_disease_haulm_destruction,Haulm destruction,
agri.pest_disease_hawk_moth_plutella_xylostella,Hawk moth,Plutella xylostella
agri.pest_disease_hawk_moth_spodoptera_exempta,Hawk moth,Spodoptera exempta
agri.pest_disease_hide_beetles,Hide beetles,
agri.pest_disease_jassids_ditylenchus_destructor,Jassids,Ditylenchus destructor
agri.pest_disease_karnal_bunt_pseudocercosporella_herpotrichoides,Karnal bunt,Pseudocercosporella herpotrichoides
agri.pest_disease_last_ratoon_eradication,Last ratoon eradication,
agri.pest_disease_late_blight,Late blight,
agri.pest_disease_late_blight_alternaria_dauci,Late blight,Alternaria dauci
agri.pest_disease_late_blight_alternaria_porri,Late blight,Alternaria porri
agri.pest_disease_late_blight_botrytis_cinerea,Late blight,Botrytis cinerea
agri.pest_disease_late_blight_cercospora_carotae,Late blight,Cercospora carotae
agri.pest_disease_late_blight_colletotrichum_spp,Late blight,Colletotrichum spp.
agri.pest_disease_late_blight_phytophthora_infestans,Late blight,Phytophthora infestans
agri.pest_disease_late_blight_phytophthora_spp,Late blight,Phytophthora spp.
agri.pest_disease_late_blight_plasmopara_viticola,Late blight,Plasmopara viticola
agri.pest_disease_late_leafspot_cercospora_zeae-maydis,Late leafspot,Cercospora zeae-maydis
agri.pest_disease_late_leafspot_cercosporidium_personatum,Late leafspot,Cercosporidium personatum
agri.pest_disease_lateral_branching_increase,Lateral branching increase,
agri.pest_disease_lawn_caterpillar,Lawn caterpillar,
agri.pest_disease_leaf_blight_alternaria_dauci,Leaf blight,Alternaria dauci
agri.pest_disease_leaf_blotch_cercospora_zeae-maydis,Leaf blotch,Cercospora zeae-maydis
agri.pest_disease_leaf_blotch_cercosporidium_personatum,Leaf blotch,Cercosporidium personatum
agri.pest_disease_leaf_blotch_erysiphe_graminis,Leaf blotch,Erysiphe graminis
agri.pest_disease_leaf_blotch_fusicladium_effusum,Leaf blotch,Fusicladium effusum
agri.pest_disease_leaf_blotch_oidium_mangiferae,Leaf blotch,Oidium mangiferae
agri.pest_disease_leaf_curl,Leaf curl,
agri.pest_disease_leaf_curl_taphrina_deformans,Leaf curl,Taphrina deformans
agri.pest_disease_leaf_curl_venturia_inaequalis,Leaf curl,Venturia inaequalis
agri.pest_disease_leaf_eaters,Leaf eaters,
agri.pest_disease_leaf_eaters_pheidole_spp,Leaf eaters,Pheidole spp.
agri.pest_disease_leaf_eaters_phlyctinus_callosus,Leaf eaters,Phlyctinus callosus
agri.pest_disease_leaf_eating_insects,Leaf eating insects,
agri.pest_disease_leaf_hopper,Leaf hopper,
agri.pest_disease_leaf_hopper_heteronychus_arator,Leaf hopper,Heteronychus arator
agri.pest_disease_leaf_hopper_jacobiella_facialis,Leaf hopper,Jacobiella facialis
agri.pest_disease_leaf_hopper_phlyctinus_callosus,Leaf hopper,Phlyctinus callosus
agri.pest_disease_leaf_hopper_protostrophus_spp,Leaf hopper,Protostrophus spp.
agri.pest_disease_leaf_hopper_tetranychus_urticae,Leaf hopper,Tetranychus urticae
agri.pest_disease_leaf_miner,Leaf miner,
agri.pest_disease_leaf_miner_agromyza_ocularis,Leaf miner,Agromyza ocularis
agri.pest_disease_leaf_miner_american_leaf_miner,Leaf miner - American leaf miner,
agri.pest_disease_leaf_miner_american_leaf_miner_liriomyza_trifolii,Leaf miner - American leaf miner,Liriomyza trifolii
agri.pest_disease_leaf_miner_blotch_leaf_miner,Leaf miner - Blotch leaf miner,
agri.pest_disease_leaf_miner_canal_leaf_miner,Leaf miner - Canal leaf miner,
agri.pest_disease_leaf_miner_macrosiphum_rosae,Leaf miner,Macrosiphum rosae
agri.pest_disease_leaf_miner_phyllocnistis_citrella,Leaf miner,Phyllocnistis citrella
agri.pest_disease_leaf_miner_potato_leafminer_liriomyza_huidobrensis,Leaf miner - Potato leafminer,Liriomyza huidobrensis
agri.pest_disease_leaf_miner_potato_leafminer_phthorimaea_operculella,Leaf miner - Potato leafminer,Phthorimaea operculella
agri.pest_disease_leaf_miner_potato_leafminer_thaumatotibia_leucotreta,Leaf miner - Potato leafminer,Thaumatotibia leucotreta
agri.pest_disease_leaf_miner_spodoptera_exempta,Leaf miner,Spodoptera exempta
agri.pest_disease_leaf_miner_tomato_leaf_miner_moth_jacobiella_libyca,Leaf miner - Tomato leaf miner moth,Jacobiella libyca
agri.pest_disease_leaf_miner_tomato_leaf_miner_moth_plutella_xylostella,Leaf miner - Tomato leaf miner moth,Plutella xylostella
agri.pest_disease_leaf_miner_tomato_leaf_miner_moth_spodoptera_spp,Leaf miner - Tomato leaf miner moth,Spodoptera spp.
agri.pest_disease_leaf_roller,Leaf roller,
agri.pest_disease_leaf_roller_papilio_demodocus,Leaf roller,Papilio demodocus
agri.pest_disease_leaf_roller_phthorimaea_operculella,Leaf roller,Phthorimaea operculella
agri.pest_disease_leaf_spot,Leaf spot,
agri.pest_disease_leaf_spot_alternaria_porri,Leaf spot,Alternaria porri
agri.pest_disease_leaf_spot_blumeria_graminis,Leaf spot,Blumeria graminis
agri.pest_disease_leaf_spot_cercospora_spp,Leaf spot,Cercospora spp.
agri.pest_disease_leaf_spot_cercosporidium_personatum,Leaf spot,Cercosporidium personatum
agri.pest_disease_leaf_spot_diseases,Leaf spot diseases,
agri.pest_disease_leaf_spot_erysiphe_graminis,Leaf spot,Erysiphe graminis
agri.pest_disease_leaf_spot_erysiphe_pisi,Leaf spot,Erysiphe pisi
agri.pest_disease_leaf_spot_exserohilum_turcicum,Leaf spot,Exserohilum turcicum
agri.pest_disease_leaf_spot_leptodhaeria_maculans,Leaf spot,Leptodhaeria maculans
agri.pest_disease_leaf_spot_monilinia_laxa,Leaf spot,Monilinia laxa
agri.pest_disease_leaf_spot_phoma_arachidicola,Leaf spot,Phoma arachidicola
agri.pest_disease_leaf_spot_phoma_spp,Leaf spot,Phoma spp.
agri.pest_disease_leaf_spot_puccinia_arachidis,Leaf spot,Puccinia arachidis
agri.pest_disease_leaf_spot_puccinia_coronata,Leaf spot,Puccinia coronata
agri.pest_disease_leaf_spot_puccinia_hordei,Leaf spot,Puccinia hordei
agri.pest_disease_leaf_spot_thielaviopsis_basicola,Leaf spot,Thielaviopsis basicola
agri.pest_disease_lesser_mealworm,Lesser mealworm,
agri.pest_disease_lily_borer,Lily borer,
agri.pest_disease_looper_castor_oil_looper,Looper - Castor oil looper,
agri.pest_disease_looper_citrus_looper_helicoverpa_armigera,Looper - Citrus looper,Helicoverpa armigera
agri.pest_disease_looper_helicoverpa_armigera,Looper,Helicoverpa armigera
agri.pest_disease_loose_smut,Loose smut,
agri.pest_disease_loose_smut_ustilago_nuda,Loose smut,Ustilago nuda
agri.pest_disease_lucerne_caterpillar,Lucerne caterpillar,
agri.pest_disease_lucerne_caterpillar_nezara_viridula,Lucerne caterpillar,Nezara viridula
agri.pest_disease_lucerne_caterpillar_plusia,Lucerne caterpillar,Plusia
agri.pest_disease_lucerne_caterpillar_plutella_xylostella,Lucerne caterpillar,Plutella xylostella
agri.pest_disease_lumpy_disease,Lumpy disease,
agri.pest_disease_macadamia_nut_borer,Macadamia nut borer,
agri.pest_disease_macadamia_nut_borer_spodoptera_frugiperda,Macadamia nut borer,Spodoptera frugiperda
agri.pest_disease_mango_blossom_malformation_fusarium_spp,Mango blossom malformation,Fusarium spp.
agri.pest_disease_mealybug,Mealybug,
agri.pest_disease_mealybug_aceria_sheldoni,Mealybug,Aceria sheldoni
agri.pest_disease_mealybug_aleurothrixus_floccosus,Mealybug,Aleurothrixus floccosus
agri.pest_disease_mealybug_cactoblastis_cactorum,Mealybug,Cactoblastis cactorum
agri.pest_disease_mealybug_citrus_mealybug_frankliniella_occidentalis,Mealybug - Citrus mealybug,Frankliniella occidentalis
agri.pest_disease_mealybug_long-tailed_mealybug_macrosiphum_euphorbiae,Mealybug - Long-tailed mealybug,Macrosiphum euphorbiae
agri.pest_disease_mealybug_myzus_persicae,Mealybug,Myzus persicae
agri.pest_disease_mealybug_oleander_mealybug_myzus_persicae,Mealybug - Oleander mealybug,Myzus persicae
agri.pest_disease_mealybug_planococcus_ficus,Mealybug,Planococcus ficus
agri.pest_disease_mealybug_pseudococcus_obscurus,Mealybug,Pseudococcus obscurus
agri.pest_disease_mealybug_rhopalosiphum_padi,Mealybug,Rhopalosiphum padi
agri.pest_disease_melanose,Melanose,
agri.pest_disease_melanose_rhizoctonia_solani,Melanose,Rhizoctonia solani
agri.pest_disease_mice,Mice,
agri.pest_disease_millipedes,Millipedes,
agri.pest_disease_millipedes_diplopoda,Millipedes,Diplopoda
agri.pest_disease_mites_black_sand_mite,Mites - Black sand mite,
agri.pest_disease_mites_bryobia_mite,Mites - Bryobia mite,
agri.pest_disease_mites_bryobia_mite_brevipalpus_californicus,Mites - Bryobia mite,Brevipalpus californicus
agri.pest_disease_mites_bud_mite,Mites - Bud mite,
agri.pest_disease_mites_bud_mite_aceria_sheldoni,Mites - Bud mite,Aceria sheldoni
agri.pest_disease_mites_bud_mite_brevipalpus_californicus,Mites - Bud mite,Brevipalpus californicus
agri.pest_disease_mites_citrus_flat_mite_brevipalpus_californicus,Mites - Citrus flat mite,Brevipalpus californicus
agri.pest_disease_mites_citrus_flat_mite_bryobia_rubrioculus,Mites - Citrus flat mite,Bryobia rubrioculus
agri.pest_disease_mites_citrus_flat_mite_calacarus_citrifolii,Mites - Citrus flat mite,Calacarus citrifolii
agri.pest_disease_mites_citrus_flat_mite_coccus_hesperidum,Mites - Citrus flat mite,Coccus hesperidum
agri.pest_disease_mites_citrus_red_mite,Mites - Citrus red mite,
agri.pest_disease_mites_citrus_red_mite_brevipalpus_californicus,Mites - Citrus red mite,Brevipalpus californicus
agri.pest_disease_mites_citrus_red_mite_eutetranychus_orientalis,Mites - Citrus red mite,Eutetranychus orientalis
agri.pest_disease_mites_citrus_red_mite_panonychus_citri,Mites - Citrus red mite,Panonychus citri
agri.pest_disease_mites_citrus_red_mite_scirtothrips_aurantii,Mites - Citrus red mite,Scirtothrips aurantii
agri.pest_disease_mites_citrus_rust_mite,Mites - Citrus rust mite,
agri.pest_disease_mites_citrus_rust_mite_eutetranychus_orientalis,Mites - Citrus rust mite,Eutetranychus orientalis
agri.pest_disease_mites_citrus_rust_mite_panonychus_citri,Mites - Citrus rust mite,Panonychus citri
agri.pest_disease_mites_citrus_rust_mite_paracoccus_burnerae,Mites - Citrus rust mite,Paracoccus burnerae
agri.pest_disease_mites_erinose_mite,Mites - Erinose mite,
agri.pest_disease_mites_european_red_mite_panonychus_ulmi,Mites - European red mite,Panonychus ulmi
agri.pest_disease_mites_european_red_mite_tetranychus_urticae_cinnabarinus,Mites - European red mite,Tetranychus urticae (cinnabarinus)
agri.pest_disease_mites_flat_mite,Mites - Flat mite,
agri.pest_disease_mites_flat_mite_eutetranychus_orientalis,Mites - Flat mite,Eutetranychus orientalis
agri.pest_disease_mites_grey_mite,Mites - Grey mite,
agri.pest_disease_mites_grey_mite_phyllocoptruta_oleivora,Mites - Grey mite,Phyllocoptruta oleivora
agri.pest_disease_mites_lowveld_mite,Mites - Lowveld mite,
agri.pest_disease_mites_lowveld_mite_panonychus_citri,Mites - Lowveld mite,Panonychus citri
agri.pest_disease_mites_lowveld_mite_phyllocoptruta_oleivora,Mites - Lowveld mite,Phyllocoptruta oleivora
agri.pest_disease_mites_lowveld_mite_planococcus_citri,Mites - Lowveld mite,Planococcus citri
agri.pest_disease_mites_lowveld_mite_scirtothrips_aurantii,Mites - Lowveld mite,Scirtothrips aurantii
agri.pest_disease_mites_lowveld_mite_tetranychus_urticae,Mites - Lowveld mite,Tetranychus urticae
agri.pest_disease_mites_panonychus_ulmi,Mites,Panonychus ulmi
agri.pest_disease_mites_pear_bud_mite,Mites - Pear bud mite,
agri.pest_disease_mites_red_mite,Mites - Red mite,
agri.pest_disease_mites_red_spider_mite,Mites - Red spider mite,
agri.pest_disease_mites_red_spider_mite_bemisia_tabaci,Mites - Red spider mite,Bemisia tabaci
agri.pest_disease_mites_red_spider_mite_phlyctinus_callosus,Mites - Red spider mite,Phlyctinus callosus
agri.pest_disease_mites_red_spider_mite_phthorimaea_operculella,Mites - Red spider mite,Phthorimaea operculella
agri.pest_disease_mites_red_spider_mite_phyllocoptruta_oleivora,Mites - Red spider mite,Phyllocoptruta oleivora
agri.pest_disease_mites_red_spider_mite_polyphagotarsonemus_latus,Mites - Red spider mite,Polyphagotarsonemus latus
agri.pest_disease_mites_red_spider_mite_scirtothrips_aurantii,Mites - Red spider mite,Scirtothrips aurantii
agri.pest_disease_mites_red_spider_mite_tetranychus_urticae,Mites - Red spider mite,Tetranychus urticae
agri.pest_disease_mites_red-legged_earth_mite,Mites - Red-legged earth mite,
agri.pest_disease_mites_rust_mite,Mites - Rust mite,
agri.pest_disease_mites_rust_mite_tetranychus_urticae_cinnabarinus,Mites - Rust mite,Tetranychus urticae (cinnabarinus)
agri.pest_disease_mites_silver_mite,Mites - Silver mite,
agri.pest_disease_mites_silver_mite_tetranychus_urticae,Mites - Silver mite,Tetranychus urticae
agri.pest_disease_mites_spider_mite_tetranychus_spp,Mites - Spider mite,Tetranychus spp.
agri.pest_disease_mites_tobacco_spider_mites,Mites - Tobacco spider mites,
agri.pest_disease_mites_two-spotted_spider_mite,Mites - Two-spotted spider mite,
agri.pest_disease_mites_two-spotted_spider_mite_plutella_spp,Mites - Two-spotted spider mite,Plutella spp.
agri.pest_disease_mites_two-spotted_spider_mite_sesamia_calamistis,Mites - Two-spotted spider mite,Sesamia calamistis
agri.pest_disease_modification_of_growth,Modification of growth,
agri.pest_disease_monilinia_penicillium,Monilinia,Penicillium
agri.pest_disease_monilinia_penicillium_expansum,Monilinia,Penicillium expansum
agri.pest_disease_mosquitos,Mosquitos,
agri.pest_disease_navel-end_rot_helminthosporium_spp,Navel-end rot,Helminthosporium spp.
agri.pest_disease_navel-end_rot_helminthosporium_turcicum,Navel-end rot,Helminthosporium turcicum
agri.pest_disease_necrostoma,Necrostoma,
agri.pest_disease_nematodes,Nematodes,
agri.pest_disease_nematodes_citrus_nematode_tylenchulus_semipenetrans,Nematodes - Citrus nematode,Tylenchulus semipenetrans
agri.pest_disease_nematodes_criconemella_xenoplax,Nematodes,Criconemella xenoplax
agri.pest_disease_nematodes_cyst_nematode_heterodera_spp,Nematodes - Cyst nematode,Heterodera spp.
agri.pest_disease_nematodes_cyst_nematode_pratylenchus_spp,Nematodes - Cyst nematode,Pratylenchus spp.
agri.pest_disease_nematodes_dagger_nematode_helicotylenchus_dihystera,Nematodes - Dagger nematode,Helicotylenchus dihystera
agri.pest_disease_nematodes_lesion_nematode_helicotylenchus_multicinctus,Nematodes - Lesion nematode,Helicotylenchus multicinctus
agri.pest_disease_nematodes_lesion_nematode_meloidogyne_spp,Nematodes - Lesion nematode,Meloidogyne spp.
agri.pest_disease_nematodes_lesion_nematode_pyrenochaeta_terrestris,Nematodes - Lesion nematode,Pyrenochaeta terrestris
agri.pest_disease_nematodes_meloidogyne_spp,Nematodes,Meloidogyne spp.
agri.pest_disease_nematodes_meloidogyne_spp_excluding_m_chitwoodi_and_m_fallax,Nematodes,Meloidogyne spp. (excluding M. chitwoodi and M. fallax)
agri.pest_disease_nematodes_parasitic_nematode,Nematodes - Parasitic nematode,
agri.pest_disease_nematodes_peanut_pod_nematode,Nematodes - Peanut pod nematode,
agri.pest_disease_nematodes_pod_nematode,Nematodes - Pod nematode,
agri.pest_disease_nematodes_ring_nematode_meloidogyne_javanica,Nematodes - Ring nematode,Meloidogyne javanica
agri.pest_disease_nematodes_root-knot_nematode,Nematodes - Root-knot nematode,
agri.pest_disease_nematodes_root-knot_nematode_meloidogyne_spp,Nematodes - Root-knot nematode,Meloidogyne spp.
agri.pest_disease_nematodes_root-knot_nematode_pratylenchus_spp,Nematodes - Root-knot nematode,Pratylenchus spp.
agri.pest_disease_nematodes_root-knot_nematode_pythium_spp,Nematodes - Root-knot nematode,Pythium spp.
agri.pest_disease_nematodes_spiral_nematode_meloidogyne_spp_excluding_m_chitwoodi,Nematodes - Spiral nematode,Meloidogyne spp. (excluding M. chitwoodi)
agri.pest_disease_nematodes_stubby_root_nematode_pyrenochaeta_terrestris,Nematodes - Stubby root nematode,Pyrenochaeta terrestris
agri.pest_disease_nematodes_stubby_root_nematode_rhizoctonia_spp,Nematodes - Stubby root nematode,Rhizoctonia spp.
agri.pest_disease_net_blotch_drechslera_teres,Net blotch,Drechslera teres
agri.pest_disease_net_blotch_erysiphe_graminis,Net blotch,Erysiphe graminis
agri.pest_disease_net_blotch_exserohilum_turcicum,Net blotch,Exserohilum turcicum
agri.pest_disease_net_blotch_helminthosporium_spp,Net blotch,Helminthosporium spp.
agri.pest_disease_net_blotch_oidium_mangiferae,Net blotch,Oidium mangiferae
agri.pest_disease_net_blotch_phoma_arachidicola,Net blotch,Phoma arachidicola
agri.pest_disease_net_blotch_puccinia_hordei,Net blotch,Puccinia hordei
agri.pest_disease_net_blotch_puccinia_recondita,Net blotch,Puccinia recondita
agri.pest_disease_net_blotch_puccinia_sorghi,Net blotch,Puccinia sorghi
agri.pest_disease_net_leaf_blotch_puccinia_coronata,Net (Leaf) blotch,Puccinia coronata
agri.pest_disease_net_leaf_blotch_puccinia_hordei,Net (Leaf) blotch,Puccinia hordei
agri.pest_disease_northern_leaf_blight_cercospora_arachidicola,Northern leaf blight,Cercospora arachidicola
agri.pest_disease_northern_leaf_blight_erysiphe_graminis,Northern leaf blight,Erysiphe graminis
agri.pest_disease_northern_leaf_blight_exserohilum_turcicum,Northern leaf blight,Exserohilum turcicum
agri.pest_disease_northern_leaf_blight_guignardia_citricarpa,Northern leaf blight,Guignardia citricarpa
agri.pest_disease_northern_leaf_blight_helminthosporium_teres,Northern leaf blight,Helminthosporium teres
agri.pest_disease_northern_leaf_blight_helminthosporium_turcicum,Northern leaf blight,Helminthosporium turcicum
agri.pest_disease_northern_leaf_blight_phoma_arachidicola,Northern leaf blight,Phoma arachidicola
agri.pest_disease_northern_leaf_blight_pseudocercosporella_herpotrichoides,Northern leaf blight,Pseudocercosporella herpotrichoides
agri.pest_disease_northern_leaf_blight_puccinia_hordei,Northern leaf blight,Puccinia hordei
agri.pest_disease_northern_leaf_blight_puccinia_sorghi,Northern leaf blight,Puccinia sorghi
agri.pest_disease_northern_leaf_blight_pyrenophora_teres,Northern leaf blight,Pyrenophora teres
agri.pest_disease_nut_abscission,Nut abscission,
agri.pest_disease_oidium_leucoconium_oidium_leucoconium,Oidium leucoconium,Oidium leucoconium
agri.pest_disease_oidium_mangiferae_oidium_mangiferae,Oidium mangiferae,Oidium mangiferae
agri.pest_disease_oidium_tuckeri_oidium_tuckeri,Oidium tuckeri,Oidium tuckeri
agri.pest_disease_orange_dog_caterpillar,Orange dog caterpillar,
agri.pest_disease_orange_dog_caterpillar_papilio_spp,Orange dog caterpillar,Papilio spp.
agri.pest_disease_orange_dog_caterpillar_plusia,Orange dog caterpillar,Plusia
agri.pest_disease_oriental_fruit_moth,Oriental fruit moth,
